"restaurant name",city,"average cost for two",cost_rnk
"Madhuban Restaurant - Welcome Hotel Rama International",Aurangabad,1800,392
"Big Brewsky",Bangalore,1800,393
"Kebabsville - Sayaji Hotel",Bhopal,1800,394
"TGI Friday's",Chandigarh,1800,395
"Mosaic - Country Inn & Suites by Carlson",Gurgaon,1800,396
"Yum Yum Cha",Gurgaon,1800,397
"Holy Smoke",Gurgaon,1800,398
"Indigo Delicatessen",Gurgaon,1800,399
Mediumwelldone,Gurgaon,1800,400
"Ion Club & Dining Lounge",Gurgaon,1800,401
"Suburbia - The Empire",Gurgaon,1800,402
"Hahn's Kitchen",Gurgaon,1800,403
"Club Prison",Gurgaon,1800,404
"Mainland China",Gurgaon,1800,405
"Sandys Cocktails & Kitchen",Gurgaon,1800,406
"Downtown - Diners & Living Beer Cafe",Gurgaon,1800,407
"Indian Grill Room",Gurgaon,1800,408
Chili's,Hyderabad,1800,409
Chili's,Hyderabad,1800,410
"Heart Cup Coffee",Hyderabad,1800,411
"The Forresta Kitchen & Bar",Jaipur,1800,412
"TGI Friday's",Kolkata,1800,413
"Jom Jom Malay","New Delhi",1800,414
"Mystique Melange","New Delhi",1800,415
RPM,"New Delhi",1800,416
Amber,"New Delhi",1800,417
"Zabardast Indian Kitchen","New Delhi",1800,418
"China Garden","New Delhi",1800,419
Zaffran,"New Delhi",1800,420
"Ambrosia Bliss","New Delhi",1800,421
"Excuse Me Boss","New Delhi",1800,422
"Pebble Street","New Delhi",1800,423
"Moets Shack","New Delhi",1800,424
"The Jugaad Cafe Bar","New Delhi",1800,425
Habibi,"New Delhi",1800,426
"The Chatter House","New Delhi",1800,427
"Tea Lounge - Eros Hotel","New Delhi",1800,428
"Yes Minister - Pub & Kitchen","New Delhi",1800,429
"Thai House by Kylin","New Delhi",1800,430
Depot48,"New Delhi",1800,431
"CDB Cafe","New Delhi",1800,432
Amalfi,"New Delhi",1800,433
"China Garden","New Delhi",1800,434
"Mainland China","New Delhi",1800,435
"Drums of Heaven","New Delhi",1800,436
Imperfecto,"New Delhi",1800,437
Maquina,"New Delhi",1800,438
"Out Of The Box","New Delhi",1800,439
"The Kylin Experience - Holiday Inn","New Delhi",1800,440
"The Chatter House","New Delhi",1800,441
"Lahori Gate","New Delhi",1800,442
"Alcoholic Lounge & Bar","New Delhi",1800,443
"Lotus Pond","New Delhi",1800,444
"Asia 21","New Delhi",1800,445
"The Submarine Lounge","New Delhi",1800,446
"The Derby Cookhouse","New Delhi",1800,447
"The Piano Man Jazz Club","New Delhi",1800,448
"The Fatty Bao","New Delhi",1800,449
"Joy Luck Moon","New Delhi",1800,450
"Masala House","New Delhi",1800,451
"Pirates of Grill",Noida,1800,452
Imperfecto,Noida,1800,453
"Mainland China",Noida,1800,454
"Effingut Brewerkz",Pune,1800,455
Chili's,Pune,1800,456
"Elite Indian Restaurant",Colombo,1800,457
Quaff,Gurgaon,1750,458
"Bonne Bouche","New Delhi",1750,459
"2 Nice 2 Slice","New Delhi",1750,460
Chili's,Chennai,1700,461
"Di Ghent Boulangerie",Gurgaon,1700,462
"The Pint Room",Gurgaon,1700,463
"Oh! Calcutta",Gurgaon,1700,464
"The People & Co.",Gurgaon,1700,465
"Escape Terrace Bar Kitchen",Gurgaon,1700,466
Takamaka,Gurgaon,1700,467
"Delhi Club House",Gurgaon,1700,468
"Spring - Radisson Blu Plaza",Mysore,1700,469
"The Kylin Experience","New Delhi",1700,470
"Chew - Pan Asian Cafe","New Delhi",1700,471
"Open House Cafe","New Delhi",1700,472
"Quote - The Eclectic Bar and Lounge","New Delhi",1700,473
"Ek Bar","New Delhi",1700,474
Londoners,"New Delhi",1700,475
"The Groghead","New Delhi",1700,476
Bandstand,"New Delhi",1700,477
Matchbox,"New Delhi",1700,478
"Harry's Bar + Cafe","New Delhi",1700,479
"La Bodega","New Delhi",1700,480
"The Blue Door Cafe","New Delhi",1700,481
"Civil House","New Delhi",1700,482
Pindi,"New Delhi",1700,483
"CG's - Lounge Cafe Bar","New Delhi",1700,484
"Grub House","New Delhi",1700,485
"Delhi Club House","New Delhi",1700,486
Chopsticks,"New Delhi",1700,487
"The Pint Room","New Delhi",1700,488
"Latitude - Mosaic Hotels",Noida,1700,489
"Barbeque Nation",Pune,1700,490
"The Square - Hotel Novotel",Vizag,1700,491
"Eleven Course","New Delhi",1650,492
"Capital Grill","New Delhi",1650,493
"Underdoggs Sports Bar & Grill",Guwahati,1650,494
Blackout,Jaipur,1650,495
Ikko,"New Delhi",1650,496
RoadRomeo,"New Delhi",1650,497
"Fig & Maple","New Delhi",1650,498
"Smoke House Deli","New Delhi",1650,499
"Brooklyn Central",Chandigarh,1600,500
"Kylin Experience",Chandigarh,1600,501
"AB's - Absolute Barbecues",Chennai,1600,502
"Barbeque Nation",Dehradun,1600,503
"Barbeque Nation",Faridabad,1600,504
"Martin's Corner",Goa,1600,505
"Asian Bistro",Gurgaon,1600,506
"Nowhere Terrace Brewpub Cafe",Gurgaon,1600,507
"The Hangout by 1861",Gurgaon,1600,508
Zaffran,Gurgaon,1600,509
"Vapour Bar Exchange",Gurgaon,1600,510
"Longitude 77뙾03' Bar - Le Meridien Gurgaon",Gurgaon,1600,511
"Coriander Leaf",Gurgaon,1600,512
"Hunter Valley",Gurgaon,1600,513
"Boombox Brewstreet",Gurgaon,1600,514
Mamagoto,Gurgaon,1600,515
Zizo,Gurgaon,1600,516
PKay,Gurgaon,1600,517
Tokyo,Gurgaon,1600,518
"Chokhi Dhani",Jaipur,1600,519
"Barbeque Nation",Kolkata,1600,520
"Barbeque Nation",Kolkata,1600,521
"Sigree Global Grill",Kolkata,1600,522
"Barbeque Nation",Lucknow,1600,523
"District 6",Ludhiana,1600,524
"Barbeque Nation",Mangalore,1600,525
"Barbeque Nation",Mysore,1600,526
"Barbeque Nation",Nagpur,1600,527
Chateau,"New Delhi",1600,528
"The Arena","New Delhi",1600,529
"Moti Mahal Delux","New Delhi",1600,530
"Dawat Khana","New Delhi",1600,531
